Job order ID,Company ID,# submissions,# recruiters submitting in job lifetime,# client interviews conducted,# placements,Current Job Status,Age of job since updated,Current Company Status,# company contacts,Finder's fee,Retainer Amount,Flat Fee,Company Churn?,Order Churn?,Age of job (Created to Status Change),Age of Job (Since Created)
16549997,22731932,11,3,0,0,1. Active,2,2. Active,3,0.175,2500,0,0,0,60,61
16565897,22183190,2,1,0,0,1. Active,4,2. Active,2,0.175,1250,0,0,0,24,25
16536302,22958514,10,4,1,0,Candidates in Review- Pause Subs,2,2. Active,1,0.175,2500,0,0,0,85,87
16360903,21677560,12,7,3,0,1. Active,9,2. Active,2,0.1425,0,0,0,0,350,351
16542290,22966003,47,7,15,2,2. Temporary-Paused,2,2. Active,1,0.12,0,0,0,1,68,73
16544762,21780250,8,1,3,0,4. Closed,20,Active- No Current Job Orders,1,0.155,0,0,0,1,34,67
16544763,21780250,7,3,4,0,2. Temporary-Paused,6,Active- No Current Job Orders,1,0.155,0,0,0,1,48,67
16501030,21677494,10,3,6,0,4. Closed,20,Active- No Current Job Orders,2,0.13,500,0,0,1,142,152
16438621,22726588,18,9,6,1,3. Filled,19,2. Active,1,0.125,2000,0,0,0,215,247
16526062,22904265,21,6,9,0,2. Temporary-Paused,5,2. Active,1,0.15,500,0,0,1,100,110
16532327,22262576,9,3,3,0,2. Temporary-Paused,6,2. Active,2,0.125,3000,0,0,1,90,95
16549913,22305167,2,1,1,0,4. Closed,32,2. Active,2,0.175,2500,0,0,1,16,61
16550295,22194842,19,5,7,0,3. Filled,6,No Status,1,0.145,1300,0,0,0,57,60
16542269,22677326,9,3,6,0,4. Closed,10,2. Active,1,0.15,1500,0,0,1,50,73
16501035,21677494,51,10,19,0,4. Closed,6,Active- No Current Job Orders,2,0.13,500,0,0,1,144,152
16544133,22570739,12,3,0,0,4. Closed,18,2. Active,1,0.175,2500,0,0,1,37,68
16501018,21677494,16,7,9,0,4. Closed,20,Active- No Current Job Orders,2,0.13,500,0,0,1,142,152
16528236,22777249,4,2,1,0,2. Temporary-Paused,65,2. Active,2,0.15,1000,0,0,1,28,106
16266325,22726588,37,13,7,2,3. Filled,20,2. Active,1,0.125,2000,0,0,0,453,486
16432304,22730760,15,5,2,0,2. Temporary-Paused,4,2. Active,2,0.15,0,0,0,1,249,261
16521715,22803059,18,3,5,1,3. Filled,17,3. Temporary-Paused,1,0.15,1500,0,1,0,91,121
16434412,22880874,20,5,6,1,4. Closed,6,2. Active,1,0.15,1000,0,0,1,246,256
16520743,21677494,27,6,6,0,4. Closed,11,Active- No Current Job Orders,2,0.13,500,0,0,1,112,122
16501034,21677494,25,6,5,0,4. Closed,18,Active- No Current Job Orders,2,0.13,500,0,0,1,142,152
16531083,22957751,10,3,4,1,3. Filled,6,2. Active,1,0.15,500,0,0,0,89,99
16519301,22731930,7,4,4,0,4. Closed,40,2. Active,8,0.14,1000,0,0,1,71,124
16164610,21746464,43,9,11,0,2. Temporary-Paused,31,Active- No Current Job Orders,1,0.2,3000,0,0,1,576,620
16538614,22964341,13,7,4,1,Candidates in Review- Pause Subs,13,2. Active,1,0.165,500,0,0,0,55,81
14994130,21676684,164,17,60,17,1. Active,4,2. Active,2,0.15,1150,0,0,0,1051,1051
16473295,22880874,9,5,4,0,1. Active,4,2. Active,1,0.15,1000,0,0,0,178,179
16538585,22964337,11,6,3,0,FROZEN-UNRESPONSIVE,23,2. Active,1,0.15,500,0,0,1,76,81
16417344,22735025,13,1,3,1,3. Filled,14,2. Active,1,0.15,500,0,0,0,273,283
16348579,22735025,29,4,11,0,1. Active,4,2. Active,1,0.15,500,0,0,0,355,372
16480122,22915266,26,1,7,1,3. Filled,4,Active- No Current Job Orders,1,0.155,1500,0,0,0,160,165
16512300,22890977,2,2,1,0,2. Temporary-Paused,41,2. Active,1,0,500,0,0,1,87,141
16525865,22777249,8,5,5,0,1. Active,6,2. Active,2,0.15,1000,0,0,0,107,110
16542620,22966117,3,3,2,0,4. Closed,40,2. Active,1,0.15,500,0,0,1,19,72
16540626,22965215,24,4,4,1,3. Filled,5,2. Active,1,0.15,500,0,0,0,57,75
16419278,22875572,6,5,0,0,1. Active,13,2. Active,1,0.175,0,0,0,0,273,278
16519309,22731930,10,7,2,0,4. Closed,33,2. Active,8,0.14,1000,0,0,1,112,124
16539141,22731930,11,7,2,0,1. Active,4,2. Active,8,0.14,1000,0,0,0,79,80
16556871,22731930,10,3,2,1,4. Closed,8,2. Active,8,0.14,1000,0,0,1,35,45
16532964,22777249,4,2,0,0,1. Active,21,2. Active,2,0.15,1000,0,0,0,92,94
16381182,22730760,22,6,1,0,2. Temporary-Paused,6,2. Active,2,0.15,0,0,0,1,305,324
16448438,22890977,6,2,6,0,2. Temporary-Paused,13,2. Active,1,0,500,0,0,1,202,228
16562594,22964341,3,2,1,1,3. Filled (REPLACEMENT),12,2. Active,1,0.165,500,0,0,0,7,32
16470864,22579022,9,8,2,0,1. Active,5,2. Active,1,0.155,2000,0,0,0,183,185
16201081,22305167,7,5,4,0,2. Temporary-Paused,5,2. Active,2,0.175,2500,0,0,1,561,571
16445072,22889328,12,3,8,3,3. Filled,47,Active- No Current Job Orders,1,0.185,1500,0,0,0,175,235
16538267,22964275,7,3,2,0,4. Closed,32,2. Active,1,0.17,500,0,0,1,36,81
16521716,22803059,20,6,5,0,4. Closed,11,3. Temporary-Paused,1,0.15,1500,0,1,1,111,121
16179310,22565732,26,12,8,2,4. Closed,27,2. Active,1,0.155,2000,0,0,1,558,598
15914997,21746908,18,7,3,0,1. Active,2,2. Active,1,0.175,1000,0,0,0,732,736
16483969,22817762,1,1,0,0,2. Temporary-Paused,54,Active- No Current Job Orders,3,0.15,1000,0,0,1,88,155
16522893,22305167,7,2,7,0,2. Temporary-Paused (REPLACEMENT),38,2. Active,2,0.175,2500,0,0,1,66,117
16508037,22923400,5,4,1,0,1. Active,11,2. Active,1,0.16,1000,0,0,0,146,149
16544146,22844860,13,5,2,0,1. Active (REPLACEMENT),4,2. Active,2,0.205,2500,0,0,0,66,68
16515762,22826815,20,5,10,0,1. Active,8,2. Active,1,0.16,1000,0,0,0,126,134
16545105,22968355,17,2,7,0,2. Temporary-Paused,6,2. Active,1,0.15,0,0,0,1,58,66
16482943,22474463,10,4,2,0,1. Active,10,2. Active,0,0,0,0,0,0,134,157
16554990,22570739,6,4,2,0,4. Closed,18,2. Active,1,0.175,2500,0,0,1,17,48
16558929,22305167,9,2,8,0,Offer Extended,0,2. Active,2,0.175,2500,0,0,0,28,40
16320903,22773046,33,9,5,0,2. Temporary-Paused,145,2. Active,1,0,1000,5000,0,1,256,414
16309222,22773046,13,6,2,1,4. Closed,277,2. Active,1,0,1000,5000,0,1,140,430
16337008,22817762,31,8,7,0,2. Temporary-Paused,54,Active- No Current Job Orders,3,0.15,1000,0,0,1,322,389
16222882,22104969,32,8,12,1,4. Closed,58,2. Active,1,0.155,1300,0,0,1,471,542
16278960,22708160,3,1,3,1,2. Temporary-Paused,200,Active- No Current Job Orders,1,0.16,1500,0,0,1,254,467
16327460,22803059,15,5,8,0,4. Closed,19,3. Temporary-Paused,1,0.15,1500,0,1,1,393,403
16286346,22782939,7,1,4,0,4. Closed,333,2. Active,1,0,0,0,0,1,112,458
16299371,22708160,7,1,2,1,3. Filled,296,Active- No Current Job Orders,1,0.16,1500,0,0,0,133,442
16321663,22777249,5,3,1,0,4. Closed,250,2. Active,2,0.15,1000,0,0,1,148,411
16320973,22305167,38,13,28,0,2. Temporary-Paused,18,2. Active,2,0.175,2500,0,0,1,383,414
16347897,22822074,1,1,0,0,2. Temporary-Paused,146,Active- No Current Job Orders,1,0,1000,5000,0,1,214,373
16274507,22730901,18,4,5,0,4. Closed,173,4. Business Terminated,1,0.175,0,0,1,1,464,474
16337011,22817762,43,9,19,0,2. Temporary-Paused,4,Active- No Current Job Orders,3,0.15,1000,0,0,1,379,389
16327826,22614719,4,2,1,0,3. Filled,305,CONTRACT EXPIRED,1,0.175,1500,0,1,0,85,403
16340971,22777249,2,2,0,0,2. Temporary-Paused,250,2. Active,2,0.15,1000,0,0,1,119,382
16345856,22821650,31,6,16,0,2. Temporary-Paused,69,2. Active,2,0.125,2500,0,0,1,293,375
16345875,22821650,11,2,5,0,2. Temporary-Paused,174,2. Active,2,0.125,2500,0,0,1,188,375
16291200,22374203,8,4,6,0,4. Closed,4,2. Active,1,0.125,900,0,0,1,435,452
16286902,22183190,5,2,0,0,2. Temporary-Paused,366,2. Active,2,0.175,1250,0,0,1,78,457
16137617,22614719,3,2,1,1,4. Closed (REPLACEMENT),398,CONTRACT EXPIRED,1,0.175,1500,0,1,1,224,635
16304726,22183190,2,1,0,0,2. Temporary-Paused,405,2. Active,2,0.175,1250,0,0,1,18,436
15693206,21612139,90,17,39,5,4. Closed,24,2. Active,2,0.15,0,0,0,1,784,821
16307544,22772964,10,5,5,0,3. Filled,202,4. Business Terminated,4,0.15,1000,0,1,0,421,431
16302639,22773046,4,2,3,0,4. Closed,366,2. Active,1,0,1000,5000,0,1,59,438
16245936,22183190,2,2,0,0,2. Temporary-Paused,396,2. Active,2,0.175,1250,0,0,1,105,514
16300464,22183190,3,2,1,0,4. Closed,396,2. Active,2,0.175,1250,0,0,1,30,439
16276512,21828224,15,6,3,0,2. Temporary-Paused,76,2. Active,8,0.15,1300,0,0,1,383,472
16304727,22183190,3,2,0,0,2. Temporary-Paused,250,2. Active,2,0.175,1250,0,0,1,173,436
16279528,22716450,5,4,0,0,2. Temporary-Paused,366,2. Active,1,0.14,1200,0,0,1,87,466
16263054,22715334,2,2,2,0,4. Closed,377,4. Business Terminated,1,0.16,0,0,1,1,101,491
15013087,21605557,20,8,9,2,2. Temporary-Paused,340,2. Active,2,0.15,1000,0,0,1,692,1045
16252086,22715334,18,6,12,2,2. Temporary-Paused,167,4. Business Terminated,1,0.16,0,0,1,1,326,506
16188959,21687415,34,7,15,6,3. Filled,220,2. Active,2,0.165,1500,0,0,0,350,583
16298200,22731930,5,3,2,1,4. Closed,297,2. Active,8,0.14,1000,0,0,1,133,443
16300469,22183190,3,2,2,0,3. Filled,243,2. Active,2,0.175,1250,0,0,0,183,439
16297303,22718940,7,3,4,0,2. Temporary-Paused,166,2. Active,1,0.155,2000,0,0,1,265,444
16269342,22718868,5,3,2,0,4. Closed,313,2. Active,1,0.14,0,0,0,1,471,481
16227391,22699342,18,6,7,1,FROZEN-UNRESPONSIVE,69,4. Business Terminated,1,0.16,1500,0,1,1,454,536
16277706,22731930,13,5,6,2,3. Filled,276,2. Active,8,0.14,1000,0,0,0,182,471
16314220,22731930,5,3,0,0,2. Temporary-Paused (BENCH),294,2. Active,8,0.14,1000,0,0,1,115,422
16272069,22729018,3,1,2,0,4. Closed,276,Active- No Current Job Orders,2,0.15,500,0,0,1,190,479
16277707,22731930,18,6,12,1,4. Closed,111,2. Active,8,0.14,1000,0,0,1,347,471
16300475,22183190,1,1,0,0,2. Temporary-Paused,123,2. Active,2,0.175,1250,0,0,1,303,439
16313688,21605566,5,3,3,0,2. Temporary-Paused,157,No Status,1,0.2,0,0,0,1,253,423
16302644,22773046,4,4,1,0,4. Closed,296,2. Active,1,0,1000,5000,0,1,129,438
16302645,22773046,3,2,0,0,4. Closed,296,2. Active,1,0,1000,5000,0,1,129,438
16222958,21677560,5,4,1,0,4. Closed,30,2. Active,2,0.1425,0,0,0,1,532,542
16254922,21926571,1,1,0,0,2. Temporary-Paused,431,No Status,2,0,0,0,0,1,57,501
16182662,22665975,15,7,6,0,4. Closed,296,4. Business Terminated,2,0.175,1500,0,1,1,283,592
16248992,22711743,25,10,11,4,3. Filled,23,2. Active,1,0.16,500,0,0,0,473,509
15827198,22337120,23,8,11,1,4. Closed (REPLACEMENT),221,4. Business Terminated,1,0.175,0,0,1,1,539,773
16247379,22711437,3,3,2,1,4. Closed,206,2. Active,1,0.015,500,0,0,1,294,513
16239361,22708160,5,2,4,1,3. Filled,430,Active- No Current Job Orders,1,0.16,1500,0,0,0,80,523
16153718,22647275,22,9,6,0,4. Closed,166,2. Active,1,0.15,1000,0,0,1,448,627
16250055,22183190,6,5,2,0,4. Closed,311,2. Active,2,0.175,1250,0,0,1,184,508
14994595,21677305,2,2,0,0,2. Temporary-Paused,384,4. Business Terminated,2,0.0875,0,0,1,1,654,1051
16245791,22709252,7,3,2,0,2. Temporary-Paused (REPLACEMENT),38,4. Business Terminated,1,0.2,0,0,1,1,463,514
16250192,22711095,3,2,0,0,4. Closed,440,4. Business Terminated,1,0.1,0,0,1,1,55,508
16264488,22572806,3,1,2,1,4. Closed,58,Active- No Current Job Orders,3,0.175,1000,0,0,1,417,488
15228558,21677305,37,12,8,1,2. Temporary-Paused,2,4. Business Terminated,2,0.0875,0,0,1,1,1203,1218
16226907,21926556,1,1,1,0,2. Temporary-Paused,179,2. Active,1,0.13,0,0,0,1,344,536
16257833,22718833,12,5,3,0,4. Closed,178,2. Active,1,0.12,1000,0,0,1,488,498
15766172,22558178,19,1,16,1,2. Temporary-Paused (REPLACEMENT),48,Active- No Current Job Orders,1,0.155,0,0,0,1,735,796
16254561,22716011,4,2,0,0,2. Temporary-Paused,46,Active- No Current Job Orders,1,0.2,0,0,0,1,443,502
16258026,22718833,15,3,8,1,4. Closed,17,2. Active,1,0.12,1000,0,0,1,468,498
16210886,22673984,1,1,0,0,2. Temporary-Paused,138,2. Active,1,0.14,1500,0,0,1,407,558
15949565,22183190,10,6,5,1,2. Temporary-Paused,200,2. Active,2,0.175,1250,0,0,1,497,710
16265381,22726431,4,3,2,0,2. Temporary-Paused,69,2. Active,1,0.12,1500,0,0,1,405,487
16262119,22725139,3,1,2,0,4. Closed,381,Active- No Current Job Orders,1,0.15,0,0,0,1,98,492
16260724,22718940,3,2,3,0,4. Closed,318,2. Active,1,0.155,2000,0,0,1,162,493
16198075,22669975,5,2,3,0,2. Temporary-Paused,200,Active- No Current Job Orders,1,0.155,2000,0,0,1,565,575
16141532,21675721,13,6,3,0,FROZEN-UNRESPONSIVE,200,FROZEN- UNRESPONSIVE,2,0.14,1000,0,1,1,420,633
16270577,22728759,5,2,3,0,1. Active (BENCH),11,2. Active,1,0.15,1000,0,0,0,479,480
16270576,22728758,3,2,2,1,3. Filled,144,2. Active,1,0,1500,0,0,0,470,480
16283918,22730760,12,5,1,0,2. Temporary-Paused,276,2. Active,2,0.15,0,0,0,1,171,460
16268406,22607930,9,4,4,1,3. Filled,296,Active- No Current Job Orders,2,0.15,2000,0,0,0,175,484
16271002,22183190,3,2,2,1,3. Filled (REPLACEMENT),405,2. Active,2,0.175,1250,0,0,0,62,480
16294005,21605563,3,3,0,0,4. Closed,297,Active- No Current Job Orders,6,0.18,0,0,0,1,139,449
16292128,22743791,24,6,11,4,4. Closed,199,2. Active,1,0.1,2500,0,0,1,239,451
15750395,22305167,13,5,7,0,3. Filled,391,2. Active,2,0.175,2500,0,0,0,797,803
16290763,22735025,16,3,9,2,3. Filled,47,2. Active,1,0.15,500,0,0,0,392,452
16147946,21676684,24,9,15,0,4. Closed,166,2. Active,2,0.15,1150,0,0,1,452,631
16291160,22725440,4,3,0,0,FROZEN-UNRESPONSIVE,111,2. Active,1,0.15,1000,0,0,1,328,452
16269340,22718868,5,2,1,0,4. Closed,19,2. Active,1,0.14,0,0,0,1,471,481
16315700,22104318,8,3,7,0,4. Closed,200,Active- No Current Job Orders,6,0.15,0,0,0,1,411,421
16298201,22731930,6,3,3,1,3. Filled,5,2. Active,8,0.14,1000,0,0,0,425,443
16329166,22804484,16,3,1,0,4. Closed,179,4. Business Terminated,2,0.175,1500,0,1,1,391,401
16303750,22777249,6,3,4,1,2. Temporary-Paused,159,2. Active,2,0.15,1000,0,0,1,265,437
16302271,22772964,19,5,10,3,3. Filled,19,4. Business Terminated,4,0.15,1000,0,1,0,406,438
16269395,22718868,3,3,0,0,4. Closed,325,2. Active,1,0.14,0,0,0,1,471,481
16335312,22815404,4,1,3,1,3. Filled,250,Active- No Current Job Orders,1,0.012,1500,0,0,0,130,393
16187480,22183187,3,2,2,1,2. Temporary-Paused,186,2. Active,1,0.145,1300,0,0,1,386,585
16322748,22782939,7,1,2,0,2. Temporary-Paused,179,2. Active,1,0,0,0,0,1,218,410
16331431,21927216,11,2,2,0,4. Closed (REPLACEMENT),285,2. Active,1,0,1200,0,0,1,99,397
16320910,22773046,2,2,1,0,2. Temporary-Paused,94,2. Active,1,0,1000,5000,0,1,307,414
16320972,22305167,9,5,7,0,4. Closed,179,2. Active,2,0.175,2500,0,0,1,222,414
16270650,22249943,12,1,5,0,2. Temporary-Paused,179,2. Active,1,0.175,1000,0,0,1,288,480
16302586,21796063,10,4,7,0,4. Closed,115,2. Active,1,0.16,0,0,0,1,310,438
16302643,22773046,3,3,0,0,4. Closed,340,2. Active,1,0,1000,5000,0,1,85,438
16343553,22104318,2,2,1,1,3. Filled,325,Active- No Current Job Orders,6,0.15,0,0,0,0,41,379
16320907,22773046,8,5,0,0,2. Temporary-Paused,241,2. Active,1,0,1000,5000,0,1,160,414
16330474,22104318,8,2,2,0,4. Closed,167,Active- No Current Job Orders,6,0.15,0,0,0,1,390,400
16190921,22663054,11,3,5,1,3. Filled (REPLACEMENT),415,2. Active,1,0.175,1500,0,0,0,151,579
16265950,22183190,2,2,0,0,2. Temporary-Paused,200,2. Active,2,0.175,1250,0,0,1,273,486
16222960,21677560,3,2,2,0,4. Closed,292,2. Active,2,0.1425,0,0,0,1,532,542
16266425,21677305,1,1,1,0,2. Temporary-Paused,69,4. Business Terminated,2,0.0875,0,0,1,1,404,486
16271993,22726431,6,4,3,0,4. Closed,206,2. Active,1,0.12,1500,0,0,1,260,479
16223467,22666977,3,1,1,2,2. Temporary-Paused,125,2. Active,1,0.16,1500,0,0,1,403,541
16266990,22716450,6,1,5,1,4. Closed,206,2. Active,1,0.14,1200,0,0,1,266,485
16265371,22726431,8,5,4,0,4. Closed,398,2. Active,1,0.12,1500,0,0,1,76,487
16270659,21675721,5,4,1,0,FROZEN-UNRESPONSIVE,200,FROZEN- UNRESPONSIVE,2,0.14,1000,0,1,1,267,480
16272805,21605566,4,3,2,0,2. Temporary-Paused,432,No Status,1,0.2,0,0,0,1,33,478
16252684,21828224,7,2,1,1,3. Filled,296,2. Active,8,0.15,1300,0,0,0,196,505
16227141,21828224,1,1,0,0,2. Temporary-Paused,200,2. Active,8,0.15,1300,0,0,1,323,536
16281623,22183190,2,1,0,0,4. Closed,395,2. Active,2,0.175,1250,0,0,1,56,464
16178555,22305167,39,11,26,0,2. Temporary-Paused,167,2. Active,2,0.175,2500,0,0,1,419,599
16272801,21605566,1,1,1,0,2. Temporary-Paused,377,No Status,1,0.2,0,0,0,1,88,478
16227142,21828224,6,4,0,0,4. Closed,311,2. Active,8,0.15,1300,0,0,1,212,536
16283916,22730760,3,1,0,0,3. Filled,331,2. Active,2,0.15,0,0,0,0,116,460
16286719,21828224,9,3,4,1,3. Filled,180,2. Active,8,0.15,1300,0,0,0,264,457
16283917,22730760,7,4,1,0,4. Closed,248,2. Active,2,0.15,0,0,0,1,199,460
16310879,22789986,8,3,6,0,4. Closed,318,CONTRACT EXPIRED,1,0.13,1000,0,1,1,97,428
15229389,21605557,29,13,12,1,3. Filled,61,2. Active,2,0.15,1000,0,0,0,1215,1289
16302641,22773046,10,5,5,0,2. Temporary-Paused,69,2. Active,1,0,1000,5000,0,1,356,438
16310062,22781397,1,1,0,0,2. Temporary-Paused,367,2. Active,1,0,0,0,0,1,49,429
16303755,22777249,9,4,2,0,2. Temporary-Paused,65,2. Active,2,0.15,1000,0,0,1,359,437
16289768,22738686,11,4,3,0,2. Temporary-Paused,307,Active- No Current Job Orders,1,0.13,1500,0,0,1,133,453
16309777,22183190,5,2,1,0,4. Closed,251,2. Active,2,0.175,1250,0,0,1,165,429
16321665,22777249,1,1,1,0,2. Temporary-Paused,300,2. Active,2,0.15,1000,0,0,1,98,411
16320909,22773046,5,4,1,0,2. Temporary-Paused,108,2. Active,1,0,1000,5000,0,1,293,414
16327447,22803059,12,8,4,0,4. Closed,157,3. Temporary-Paused,1,0.15,1500,0,1,1,233,403
16287147,22737435,12,5,1,0,4. Closed,32,CONTRACT EXPIRED,1,0.155,1000,0,1,1,412,457
16285979,22718868,5,4,2,2,3. Filled,327,2. Active,1,0.14,0,0,0,0,448,458
16317819,21605566,5,3,1,0,4. Closed,318,No Status,1,0.2,0,0,0,1,86,417
16272806,21605566,9,3,5,0,2. Temporary-Paused,167,No Status,1,0.2,0,0,0,1,298,478
14994208,21677539,8,2,1,0,2. Temporary-Paused,265,No Status,0,0.095,0,0,0,1,773,1051
15526652,22066950,2,1,1,0,2. Temporary-Paused,851,2. Active,2,0.175,1300,0,0,1,16,880
15121645,21794452,13,5,9,0,3. Filled,781,No Status,1,0,1300,0,0,0,222,1016
15518024,22182788,1,1,1,0,2. Temporary-Paused,298,CONTRACT EXPIRED,1,0.14,1200,0,1,1,573,884
15522398,22183190,11,4,2,0,4. Closed,365,2. Active,2,0.175,1250,0,0,1,505,883
15504473,22100457,10,5,6,0,4. Closed,625,No Status,1,0.12,0,0,0,1,250,888
15473144,22104318,4,3,2,0,4. Closed,495,Active- No Current Job Orders,6,0.15,0,0,0,1,393,901
15518894,21746965,2,2,0,0,2. Temporary-Paused,672,Active- No Current Job Orders,2,0,0,2900,0,1,199,884
15518939,21746965,6,4,1,0,2. Temporary-Paused,664,Active- No Current Job Orders,2,0,0,2900,0,1,207,884
15522428,22183190,1,1,0,0,4. Closed,356,2. Active,2,0.175,1250,0,0,1,514,883
15522341,22183187,3,2,2,0,3. Filled,564,2. Active,1,0.145,1300,0,0,0,306,883
14994037,21677494,20,10,10,0,4. Closed (REPLACEMENT),123,Active- No Current Job Orders,2,0.13,500,0,0,1,915,1051
15192431,21809552,15,7,8,0,2. Temporary-Paused (REPLACEMENT),200,No Status,3,0.155,1300,0,0,1,778,991
15556106,22194842,7,2,5,0,3. Filled,47,No Status,1,0.145,1300,0,0,0,812,872
15242403,21926376,14,7,5,0,2. Temporary-Paused,200,No Status,1,0.125,1300,0,0,1,764,977
15473168,22104318,6,1,4,0,4. Closed,648,Active- No Current Job Orders,6,0.15,0,0,0,1,240,901
14994421,21677134,17,5,17,2,4. Closed,297,CONTRACT EXPIRED,2,0.12,1500,0,1,1,741,1051
15522392,22183190,1,1,0,0,2. Temporary-Paused,291,2. Active,2,0.175,1250,0,0,1,579,883
15578093,22183190,2,1,0,0,2. Temporary-Paused,577,2. Active,2,0.175,1250,0,0,1,274,864
15522410,22183190,14,8,4,1,3. Filled,40,2. Active,2,0.175,1250,0,0,0,830,883
15192287,21809552,6,3,3,0,4. Closed,870,No Status,3,0.155,1300,0,0,1,108,991
14955577,21677134,1,1,1,0,4. Closed,885,CONTRACT EXPIRED,2,0.12,1500,0,1,1,167,1065
14843152,21687982,9,2,5,0,4. Closed,58,No Status,2,0.15,0,0,0,1,1040,1111
14953801,21677512,6,3,2,0,4. Closed,765,No Status,2,0.15,0,0,0,1,288,1066
14971603,21677494,24,10,10,1,3. Filled,114,Active- No Current Job Orders,2,0.13,500,0,0,0,932,1059
14867200,21687982,2,2,2,0,4. Closed (REPLACEMENT),895,No Status,2,0.15,0,0,0,1,194,1102
14949478,21677494,6,2,4,0,4. Closed,802,Active- No Current Job Orders,2,0.13,500,0,0,1,252,1067
14929702,21677491,15,7,15,0,2. Temporary-Paused,685,3. Temporary-Paused,2,0.1,0,0,1,1,376,1074
15035215,21656803,10,1,6,0,4. Closed,782,No Status,0,0,0,0,0,1,244,1039
15019567,21758947,3,3,2,0,2. Temporary-Paused,697,FROZEN- UNRESPONSIVE,2,0.125,2500,0,1,1,333,1043
15007900,21675955,15,7,2,0,4. Closed,781,Active- No Current Job Orders,7,0.15,0,0,0,1,253,1047
15064555,21779506,2,2,1,0,4. Closed (REPLACEMENT),895,3. Temporary-Paused,1,0.155,1300,0,1,1,124,1032
14994415,21677500,7,4,4,0,4. Closed,608,3. Temporary-Paused,1,0.13,0,0,1,1,430,1051
15064546,21779506,3,1,2,0,4. Closed (REPLACEMENT),895,3. Temporary-Paused,1,0.155,1300,0,1,1,124,1032
15393906,22104318,6,3,3,0,3. Filled,110,Active- No Current Job Orders,6,0.15,0,0,0,0,796,919
15391431,22104318,10,3,5,0,3. Filled,351,Active- No Current Job Orders,6,0.15,0,0,0,0,556,920
15334155,21976920,2,2,1,0,4. Closed,781,3. Temporary-Paused,3,0.125,1000,0,1,1,148,942
15393912,22104318,2,1,2,0,4. Closed,578,Active- No Current Job Orders,6,0.15,0,0,0,1,328,919
15404412,21687463,11,6,5,0,4. Closed,681,CONTRACT EXPIRED,3,0.15,0,0,1,1,221,915
15265260,21780250,12,3,5,0,2. Temporary-Paused (BENCH),200,Active- No Current Job Orders,1,0.155,0,0,0,1,755,968
15393909,22104318,6,2,3,0,3. Filled,776,Active- No Current Job Orders,6,0.15,0,0,0,0,130,919
15004510,21746278,7,6,6,0,2. Temporary-Paused,340,3. Temporary-Paused,7,0.15,0,0,1,1,695,1048
15423294,21753295,2,1,2,0,3. Filled,472,4. Business Terminated,3,0.175,1500,0,1,0,423,908
15306216,21976920,3,2,2,0,4. Closed,529,3. Temporary-Paused,3,0.125,1000,0,1,1,411,953
15370692,22100457,3,3,0,0,4. Closed,648,No Status,1,0.12,0,0,0,1,266,927
14994229,21677539,6,3,5,0,4. Closed,809,No Status,0,0.095,0,0,0,1,229,1051
